"","X12S","X16S","BDNF","CXCR4","cytb","H3A","NCX1","ND1","ND2","POMC","RAG1","RHOD","SIA","SLC8A3","TYR"
"1010","EU663390","EU663031","","KF534453","","","KF534189","EU663123","","EU663213","EU663490","","","KF534273",""
"1011","EU663363","EU663004","","KF534454","","","KF534190","EU663098","","EU663189","EU663462","","","KF534274",""
"1012","EU663404","EU663043","","","","","","EU663135","","","EU663502","","","",""
"1013","EU663343","EU662984","","KF534455","","","KF534191","EU663084","","EU663172","EU663442","","","KF534275",""
"1014","EU663372","EU663012","","KF534456","","","KF534192","EU663106","","EU663196","EU663471","","","KF534276",""
"1015","EU663377","EU663017","","KF534457","","","KF534193","EU663111","","EU663202","EU663476","","","KF534277",""
"1016","","","","","","","","","","","","","","",""
"1017","KF639776","","","","JX298412","","","","","JX298142","JX298194","","","",""
"1018","EU663379","EU663019","","KF534374","","","KF534113","EU663113","","EU663204","EU663479","","","KF534195",""
"1019","EU663385","EU663025","","KF534375","","","KF534114","EU663163","","EU663247","EU663531","","","",""
"1020","EU663391","EU663032","","KF534403","","","KF534139","EU663124","","EU663214","EU663491","","","KF534223",""
"1021","EU663392","GQ142064","","KF534404","","","KF534140","EU663125","","EU663215","EU663492","","","KF534224",""
"1022","","JN870859","","","","","KF534141","","","","","","","KF534225",""
"1023","","GQ142057","","KF534405","","","KF534142","","","","","","","KF534226",""
"1024","EU663399","EU663038","","KF534407","","","KF534144","EU663130","","EU663219","EU663497","","","KF534228",""
"1025","EU663400","EU663039","","KF534408","","","KF534145","AY819468","","EU663221","EU663498","","","KF534229",""
"1026","EU663402","EU663041","","KF534409","","","KF534146","EU663133","","EU663223","EU663500","","","KF534230",""
"1027","","","","","","","","","","","","","","",""
"1028","EU663406","DQ283453","","KF534410","","DQ284426","KF534147","JX564869","JX564869","EU663224","EU663504","DQ284043","","KF534231",""
"1029","EU663407","EU663046","","KF534411","","","KF534148","EU663138","","EU663226","EU663505","","","KF534232",""
"1030","","","","","","","","","","","","","","",""
"1031","EU663408","EU663047","","KF534412","","","KF534149","EU663139","","","EU663506","","","KF534233",""
"1032","EU663409","EU663048","","KF534413","","","KF534150","EU663140","","EU663227","EU663507","","","KF534234",""
"1033","EU663387","EU663029","","KF534414","","","KF534151","EU663121","","","","","","KF534235",""
"1034","","","","","","","","","","","","","","",""
"1035","","","","","","","","","","","","","","",""
"1036","EU663411","GQ142046","","KF534415","","","KF534152","EU663142","","EU663229","EU663509","","","KF534236",""
"1037","JF266568","JF266570","","KF534416","","","","","","","","","","KF534237",""
"1038","EU663413","EU447291","","KF534417","","","KF534153","EU663144","","EU663230","EU663511","","","KF534238",""
"1039","EU663414","EU447288","","KF534418","","","KF534154","EU663145","","EU663231","EU663512","","","KF534239",""
"1040","EU663415","EU663052","","KF534419","","","KF534155","EU663146","","","EU663513","","","KF534240",""
"1041","","GQ142065","","KF534420","","","KF534156","","","","","","","KF534241",""
"1042","","","","","","","","","","","","","","",""
"1043","","","","","","","","","","","","","","",""
"1044","EU663418","EU663054","","KF534422","","","KF534158","EU663149","","EU663233","EU663516","","","KF534243",""
"1045","EU663419","GQ142047","","KF534423","","","KF534159","EU663150","","EU663234","EU663517","","","KF534244",""
"1046","EF376050","EF376080","","KF534424","","","KF534160","EU663151","","EU663235","EU663518","","","KF534245",""
"1047","EU663386","JN870874","","KF534425","","","KF534161","HG764789","","","","","","KF534246",""
"1048","EU663421","EU663057","","KF534426","","","KF534162","EU663152","","EU663236","EU663519","","","KF534247",""
"1049","","","","","","","","","","","","","","",""
"1050","","","","","","","","","","","","","","",""
"1051","","","","","","","","","","","","","","",""
"1052","","","","","","","","","","","","","","",""
"1053","","","","","","","","","","","","","","",""
"1054","","","","","","","","","","","","","","",""
"1055","","","","","","","","","","","","","","",""
"1056","DQ283210","DQ283210","","","","DQ284242","","","","","","DQ283891","DQ282753","",""
"1057","","","","","","","","","","","","","","",""
"1058","DQ347046","DQ283198","","","","DQ284409","AY948830","AY948752","","","DQ019496","DQ347391","DQ282741","AY948887","DQ347179"
"1059","","","","","","","","","","","","","","",""
"1060","DQ283200","DQ283200","","","","DQ284232","","","","","","DQ283883","DQ282743","","DQ282947"
"1061","","","","","","","","","","","","","","",""
"1062","","","","","","","","","","","","","","",""
"1063","","","","","","","","","","","","","","",""
"1064","DQ347044","DQ283142","","","","DQ284182","","","","","DQ347270","DQ283843","DQ282698","","DQ347177"
"1065","","","","","","","","","","","","","","",""
"1066","","","","","","","","","","","","","","",""
"1067","","","","","","","","","","","","","","",""
"1068","","","","","","","","","","","","","","",""
"1069","","","","","","","","","","","","","","",""
"1070","","","","","","","","","","","","","","",""
"1071","","","","","","","","","","","","","","",""
"1072","","","","","","","","","","","","","","",""
"1073","","","","","","","","","","","","","","",""
"1074","","","","","","","","","","","","","","",""
"1075","","","","","","","","","","","","","","",""
"1076","EU004640","","","","","","","","","","","","","",""
"1077","","","","","","","","","","","","","","",""
"1078","","","","","","","","","","","","","","",""
"1079","","","","","","","","","","","","","","",""
"1080","","","","","","","","","","","","","","",""
"1081","","","","","","","","","","","","","","",""
"1082","","","","","","","","","","","","","","",""
"1083","","","","","","","","","","","","","","",""
"1084","","","","","","","","","","","","","","",""
"1085","EU004643","","","","","","","","","","","","","",""
"1086","EU004634","","","","","","","","","","","","","",""
"1087","","","","","","","","","","","","","","",""
"1088","","","","","","","","","","","","","","",""
"1089","DQ347199","DQ347308","","","","","","","","","DQ347246","DQ347367","","","DQ347151"
"1090","","","","","","","","","","","","","","",""
"1091","","","","","","","","","","","","","","",""
"1092","","","","","","","","","","","","","","",""
"1093","DQ347019","DQ347310","","EF017993","","","EF018018","","","","DQ347248","DQ347369","","EF107376","DQ347153"
"1094","","","","","","","","","","","","","","",""
"1095","","","","","","","","","","","","","","",""
"1096","","","","","","","","","","","","","","",""
"1097","","","","","","","","","","","","","","",""
"1098","","","","","","","","","","","","","","",""
"1099","","","","","","","","","","","","","","",""
"1100","","","","","","","","","","","","","","",""
"1101","","","","","","","","","","","","","","",""
"1102","","","","","","","","","","","","","","",""
"1103","","","","","","","","","","","","","","",""
"1104","","","","","","","","","","","","","","",""
"1105","","","","","","","","","","","","","","",""
"1106","","","","","","","","","","","","","","",""
"1107","","","","","","","","","","","","","","",""
"1108","EU004644","","","","","","","","","","","","","",""
"1109","DQ347200","DQ347309","","","","","","","","","DQ347247","DQ347368","","","DQ347152"
"1110","","","","","","","","","","","","","","",""
"1111","","","","","","","","","","","","","","",""
"1112","DQ347201","DQ347311","","","","","","","","","DQ347249","DQ347370","","","DQ347154"
"1113","","","","","","","","","","","","","","",""
"1114","","","","","","","","","","","","","","",""
"1115","","","","","","","","","","","","","","",""
"1116","","","","","","","","","","","","","","",""
"1117","","","","","","","","","","","","","","",""
"1118","DQ347042","DQ347326","","","","","","","","","DQ347268","DQ347387","","","DQ347175"
"1119","","","","","","","","","","","","","","",""
"1120","","","","","","","","","","","","","","",""
"1121","DQ283104","DQ283104","","","","DQ284153","","","","","","DQ283819","DQ282679","",""
"1122","","","","","","","","","","","","","","",""
"1123","","","","","","","","","","","","","","",""
"1124","EU004650","","","","","","","","","","","","","",""
"1125","","","","","","","","","","","","","","",""
"1126","","","","","","","","","","","","","","",""
"1127","","","","","","","","","","","","","","",""
"1128","","","","","","","","","","","","","","",""
"1129","","","","","","","","","","","","","","",""
"1130","","","","","","","","","","","","","","",""
"1131","","","","","","","","","","","","","","",""
"1132","","","","","","","","","","","","","","",""
"1133","","","","","","","","","","","","","","",""
"1134","","","","","","","","","","","","","","",""
"1135","","","","","","","","","","","","","","",""
"1136","","Y11978","","","","","","","","","","","","",""
"1137","DQ283196","DQ283196","","","","DQ284229","","","","","","DQ283880","DQ282740","",""
"1138","EU004642","","","","","","","","","","","","","",""
"1139","","","","","","","","","","","","","","",""
"1140","","","","","","","","","","","","","","",""
"1141","AY326014","AY326014","HQ290587","DQ306491","HQ290527","","HQ290707","HQ290947","HQ290947","HQ290827","DQ679269","","","","HQ290887"
"1142","AY843575","AY843575","","","AY843797","","","JX204030","","","","","","",""
"1143","","","","","","","","","","","","","","",""
"1144","DQ347035","FJ882777","","AY364188","L10983","","AY523718","JX564858","JX564858","AY819091","","AY364399","","AY948886","DQ347168"
"1145","","","","","","","","","","","","","","",""
"1146","","","","","","","","","","","","","","",""
"1147","DQ283328","DQ283328","","","","","","","","","","","","",""
"1148","","","","","","","","","","","","","","",""
"1149","DQ283152","EF107175","","EF107461","","DQ284191","EF107236","AY819475","","AY819094","EF107298","DQ283851","DQ282707","EF107386",""
"1150","","","","","","","","","","","","","","",""
"1151","","","","","","","","","","","","","","",""
"1152","","","","","","","","","","","","","","",""
"1153","","","","","","","","","","","","","","",""
"1154","GQ345133","GQ345133","","GQ345190","GQ345208","GQ345221","GQ345238","GQ345251","","GQ345267","GQ345287","GQ345305","GQ345317","GQ345338","EU186771"
"1155","KF693285","KF693388","KF693487","","KF693669","","","","","","KF693609","","KF693549","",""
"1156","","","","","","","","","","","","","","",""
"1157","DQ347015","DQ347305","","EF017991","","","EF018016","","","","DQ347244","DQ347364","","EF107375","DQ347148"
"1158","","","","","","","","","","","","","","",""
"1159","DQ022325","DQ283132","KF693482","","KF693664","DQ284173","","","","","KF693604","DQ283833","DQ282688","",""
"1160","DQ283347","DQ283347","KF693484","","KF693666","DQ284337","","","","","KF693606","DQ283973","DQ282823","","DQ282972"
"1161","","","","","","","","","","","","","","",""
"1162","DQ283318","DQ283318","","","","DQ284318","","","","","","","","",""
"1163","","","","","","","","","","","","","","",""
"1164","","","","","","","","","","","","","","",""
"1165","EU186687","EU186687","","","EF629473","","","","","","","","","",""
"1166","EU186681","EU186681","","","","","","","","","","","","",""
"1167","","","","","","","","","","","","","","",""
"1168","AY326011","AY326011","","","","DQ284291","","JX564870","JX564870","","","DQ283935","DQ282786","","DQ282963"
"1169","","","","","","","","","","","","","","",""
"1170","","","","","","","","","","","","","","",""
"1171","","","","","","","","","","","","","","",""
"1172","","","","","","","","","","","","","","",""
"1173","EF493713","EF493713","","","","","","","AY273110","","","","","",""
"1174","EF493822","FJ784496","","","","","","","AY273140","","","","","",""
"1175","","","","","","","","","","","","","","",""
"1176","","","","","","","","","","","","","","",""
"1177","","","","","","","","","","","","","","",""
"1178","","","","","","","","","AY273130","","","","","",""
"1179","","","","","","","","","","","","","","",""
"1180","","","","","","","","","","","","","","",""
"1181","","","","","","","","","","","","","","",""
"1182","","","","","","","","","","","","","","",""
"1183","EU186733","FJ784328","","","EF629463","","","","AY273113","","","","","",""
"1184","","","","","","","","","","","","","","",""
"1185","","","","","EF629472","","","","","","","","","",""
"1186","","","","","","","","","","","","","","",""
"1187","EF493531","EF493531","","","","","","","AY273107","","EF493452","","","","EF493480"
"1188","","","","","","","","","","","","","","",""
"1189","EU186738","EU186720","","","","","","","","","","","","",""
"1190","","","","","","","","","","","","","","",""
"1191","","","","","","","","","","","","","","",""
"1192","","","","","","","","","","","","","","",""
"1193","","KC129324","","","","","","","","","","","","",""
"1194","","","","","","","","","","","","","","",""
"1195","AY326001","AY326001","","","EF629469","","","GQ345245","AY273117","","","","","",""
"1196","","","","","EF629470","","","","","","","","","",""
"1197","","","","","","","","","","","","","","",""
"1198","","","","","","","","","","","","","","",""
"1199","","FJ784492","","","","","","","AY273124","","","","","",""
"1200","","","","","","","","","","","","","","",""
"1201","","","","","","","","","","","","","","",""
"1202","","","","","","","","","","","","","","",""
"1203","","","","","","","","","","","","","","",""
"1204","","","","","","","","","","","","","","",""
"1205","","","","","","","","","","","","","","",""
"1206","","","","","","","","","","","","","","",""
"1207","EU186731","EU186713","","","","","","","AY273129","","","","","",""
"1208","","","","","","","","","AY273138","","","","","",""
"1209","EU186732","EU186714","","","","","","","AY273126","","","","","",""
"1210","EU186685","EU186685","","","","","","","AY273134","","","","","",""
"1211","EF493395","EF493395","","","DQ350242","","","","AY273116","","EF493454","","","","EF493482"
"1212","","","","","","","","","","","","","","",""
"1213","EU186688","EU186688","","","EF635374","","","","AY273111","","","","","",""
"1214","","","","","","","","","","","","","","",""
"1215","EU186683","EU186683","","","","","","","","","","","","",""
"1216","","","","","","","","","","","","","","",""
"1217","AY326006","AY326006","","","","","","","AY273118","","","","","",""
"1218","","","","","","","","","","","","","","",""
"1219","","","","","","","","","AY273125","","","","","",""
"1220","","","","","","","","","","","","","","",""
"1221","","","","","","","","","","","","","","",""
"1222","","","","","","","","","","","","","","",""
"1223","","","","","","","","","","","","","","",""
"1224","","FJ784523","","","","","","","EU443195","","","","","",""
"1225","EU186737","EU186719","","","","","","","","","","","","",""
"1226","","","","","","","","","","","","","","",""
"1227","","","","","","","","","","","","","","",""
"1228","","","","","","","","","","","","","","",""
"1229","","","","","","","","","","","","","","",""
"1230","","","","","","","","","","","","","","",""
"1231","","","","","","","","","","","","","","",""
"1232","","","","","","","","","","","","","","",""
"1233","","","","","","","","","","","","","","",""
"1234","","","","","","","","","AY273141","","","","","",""
"1235","","","","","","","","","","","","","","",""
"1236","EF493360","EF493360","","GQ345182","","","GQ345230","","AY273135","GQ345258","EF493450","","","GQ345328","EF493481"
"1237","","","","","","","","","","","","","","",""
"1238","","","","","","","","","AY273139","","","","","",""
"1239","","","","","","","","","","","","","","",""
"1240","","","","","","","","","","","","","","",""
"1241","DQ283168","DQ283168","","","","DQ284206","","","","","","DQ283862","","",""
"1242","EF493711","EF493711","","","","","","","AY273119","","EF493451","","","","EF493479"
"1243","","DQ195469","","","DQ350245","","","","","","","","","",""
"1244","DQ283105","DQ283106","","","DQ350246","DQ284154","","","AY273112","","","DQ283820","","","DQ282928"
"1245","","","","","","","","","","","","","","",""
"1246","DQ283317","DQ283317","","","","DQ284317","","","AY273132","","","DQ283960","DQ282808","","DQ282968"
"1247","","","","","","","","","","","","","","",""
"1248","","","","","","","","","","","","","","",""
"1249","","","","","","","","","","","","","","",""
"1250","","","","","","","","","","","","","","",""
"1251","EU186680","EU186680","","","","","","","","","","","","",""
"1252","EU186669","EU186669","","","","","","","","","","","","",""
"1253","","","","","","","","","","","","","","",""
"1254","","","","","","","","","AY273122","","","","","",""
"1255","","","","","","","","","","","","","","",""
"1256","EF493712","EF493712","","","","","","","","","","","","",""
"1257","","","","","","","","","","","","","","",""
"1258","EU186674","EU186674","","","","","","","","","EU186749","","","","EU186770"
"1259","","","","","","","","","","","","","","",""
"1260","EF562325","EF562360","","","","","","","AY273137","","","","","",""
"1261","EU186684","EU186684","","","","","","","","","","","","",""
"1262","","FJ784515","","","DQ350249","","","","","","","","","",""
"1263","","FJ784572","","","EF629457","","","","","","","","","",""
"1264","EU186702","EU186702","","","","","","","","","","","","",""
"1265","","","","","","","","","","","","","","",""
"1266","","","","","","","","","","","","","","",""
"1267","","","","","","","","","AY273106","","","","","",""
"1268","EF562323","EF562362","","","","","","","AY273136","","","","","",""
"1269","EU186673","EU186673","","","","","","","","","EU186748","","","","EU186769"
"1270","","","","","","","","","","","","","","",""
"1271","","","","","","","","","","","","","","",""
"1272","","","","","","","","","","","","","","",""
"1273","","","","","","","","","","","","","","",""
"1274","KF740845","JQ182714","","","JQ182713","","","","","","JQ182709","JQ182723","","",""
"1275","EF493361","EF493361","","GQ345183","GQ345198","DQ284142","GQ345231","","","GQ345259","GQ345278","DQ283807","GQ345309","GQ345329","DQ282918"
"1276","","","","","","","","","","","","","","",""
"1277","HQ634162","FJ685683","","","FJ685663","","","","","","FJ685703","KF214198","","",""
"1278","","","","","","","","","","","","","","",""
"1279","HQ634161","HQ634166","","","","","","","","","HQ634169","","","",""
"1280","","","","","","","","","","","","","","",""
"1281","DQ283097","DQ283097","","","DQ502588","DQ284147","","","","","DQ503357","DQ283813","DQ282675","","DQ282924"
"1282","","","","","","","","","","","","","","",""
"1283","","","","","","","","","","","","","","",""
"1284","","","","","","","","","","","","","","",""
"1285","","","","","","","","","","","","","","",""
"1286","","","","","","","","","","","","","","",""
"1287","","","","","","","","","","","","","","",""
"1288","","","","","","","","","","","","","","",""
"1289","HQ634160","HQ634165","","","","","","","","","HQ634168","","","",""
"1290","","","","","","","","","","","","","","",""
"1291","HQ634158","HQ634163","","","","","","","","","","","","",""
"1292","","","","","","","","","","","","","","",""
"1293","","","","","","","","","","","","","","",""
"1294","","","","","","","","","","","","","","",""
"1295","","","","","","","","","","","","","","",""
"1296","","","","","","","","","","","","","","",""
"1297","","","","","","","","","","","","","","",""
"1298","","","","","","","","","","","","","","",""
"1299","","","","","","","","","","","","","","",""
"1300","HQ634159","HQ634164","","","","","","","","","HQ634167","","","",""
"1301","","","","","","","","","","","","","","",""
"1302","","","","","","","","","","","","","","",""
"1303","","","","","","","","","","","","","","",""
"1304","","","","","","","","","","","","","","",""
"1305","","","","","","","","","","","","","","",""
"1306","","","","","","","","","","","","","","",""
"1307","DQ283331","DQ283331","","","FJ685662","DQ502369","","","GQ175029","","FJ685702","KF214197","","","JX298241"
"1308","","","","","","","","","","","","","","",""
"1309","","","","","","","","","","","","","","",""
"1310","","","","GQ345193","","","GQ345241","GQ345254","","GQ345271","GQ345301","GQ345307","GQ345320","GQ345339",""
"1311","","","","","","","","","","","","","","",""
"1312","JQ966107","JQ966107","","","","","","","","","","","","",""
"1313","","","","","","","","","","","","","","",""
"1314","EU342643","EU342643","","","AF482805","DQ502311","","","","","EU325903","DQ503202","","",""
"1315","DQ502150","EU342641","HQ290621","","EF646761 ","DQ502337","","HQ290984","HQ290984","","EU325906","DQ503227","DQ503088","","HQ290921"
"1316","EU342645","EU342646","","","AF482803","DQ502313","","","","","EU325912","DQ503203","DQ503066","",""
"1317","","","","","","","","","","","","","","",""
"1318","HQ290950","HQ290950","HQ290590","","HQ290530","","","HQ290950","HQ290950","","","","","","HQ290890"
"1319","","","","","","","","","","","","","","",""
"1320","","","","","","","","","","","","","","",""
"1321","EU342523","DQ502238","","","DQ502670","DQ502348","","","","","DQ503347","DQ503237","DQ503098","",""
"1322","EU342542","DQ502100","","","DQ502647","DQ502328","","","","","DQ503329","DQ503218","DQ503080","",""
"1323","","","","","","","","","","","","","","",""
"1324","","","","","","","","","","","","","","",""
"1325","KC520675","KC520676","","","KC520690","","","","","","","","","","KC520695"
"1326","DQ502135","DQ502135","","","DQ502567","DQ502349","","","","","DQ503348","DQ503238","DQ503099","",""
"1327","","KF250509","","","","","","","","","","","","",""
"1328","EU342537","DQ502117","HQ290591","","DQ502678","DQ284074","HQ290711","HQ290951","HQ290951","HQ290831","DQ503327","DQ283774","DQ282657","","DQ503156"
"1329","","","","","","","","","","","","","","",""
"1330","","","","","","","","","","","","","","",""
"1331","","","","","","","","","","","","","","",""
"1332","DQ502209","DQ502053","","","DQ502644","","","","","","","","","",""
"1333","","","","","","","","","","","","","","",""
"1334","","JN690931","","","","","","","","","JX298193","","","","JN691577"
"1335","","KF250507","","","","","","","","","","","","",""
"1336","","JQ436705","","","JF690061","","","","","","","","","",""
"1337","","AJ430673","","","","","","","","","","","","",""
"1338","","","","","","","","","","","","","","",""
"1339","HQ290959","HQ290959","HQ290599","","HQ290539","","HQ290719","HQ290959","HQ290959","HQ290839","","","","","HQ290899"
"1340","EU342540","DQ502271","HQ290600","","DQ502702","DQ502401","HQ290720","","HQ290962","HQ290840","DQ503403","DQ503277","","","HQ290900"
"1341","HQ290963","HQ290963","HQ290601","","HQ290541","","HQ290721","HQ290963","HQ290963","HQ290841","","","","","HQ290901"
"1342","","","","","","","","","","","","","","",""
"1343","AF128584","EU342546","","","AF128585","","","","","","","","","",""
"1344","","JQ966889","","","","","","","","","","","","",""
"1345","","","","","","","","","","","","","","",""
"1346","","","","","","","","","","","","","","",""
"1347","","","","","","","","","","","","","","",""
"1348","DQ502210","DQ502101","","","DQ502533","DQ502353","","","","","DQ503352","DQ503219","DQ503081","",""
"1349","","","","","","","","","","","","","","",""
"1350","","","","","","","","","","","","","","",""
"1351","EU342549","EU342550","","","","","","","","","","","","",""
"1352","","JQ966852","","","","","","","","","","","","",""
"1353","EU342524","EU342524","","","","","","","","","","","","",""
"1354","","","","","","","","","","","","","","",""
"1355","","EU380806","","","","","","","","","","","","",""
"1356","","","","","","","","","","","","","","",""
"1357","","KF250493","","","","","","","","","","","","",""
"1358","","KF250496","","","","","","","","","","","","",""
"1359","AY843577","AY843577","HQ290612","","AY843799","DQ502364","HQ290732","HQ290974","HQ290974","HQ290852","DQ503363","DQ503250","AY844778","","HQ290912"
"1360","DQ501998","DQ502118","","","DQ502550","DQ502287","","AY819469","","AY819088","DQ503290","DQ503176","DQ503040","",""
"1361","DQ502029","DQ502029","","","DQ502460","DQ284073","","","","","DQ503308","DQ283773","DQ282656","",""
"1362","","","","","","","","","","","","","","",""
"1363","","","","","","","","","","","","","","",""
"1364","EU342531","DQ502026","HQ290640","","DQ502455","DQ502301","HQ290760","HQ291003","HQ291003","HQ290880","DQ503305","DQ503192","DQ503055","","HQ290940"
"1365","EU517662","EU517666","","","EU517677","","","","","","","","","",""
"1366","","","","","","","","","","","","","","",""
"1367","FJ752367","EU342610","","","FJ752317","","","","","","","","","",""
"1368","","","","","","","","","","","","","","",""
"1369","AY364571","AY364571","HQ290633","","DQ523144","DQ502326","HQ290753","HQ290996","HQ290996","HQ290873","","DQ503216","DQ503078","","DQ503157"
"1370","","","","","","","","","","","","","","",""
"1371","DQ502125","DQ502125","","","DQ502556","DQ502341","","","","","DQ503341","DQ503231","DQ503092","","DQ503161"
"1372","EU342620","EU342621","","","DQ523123","","","","","","","","","",""
"1373","","","","","","","","","","","","","","",""
"1374","DQ502124","DQ502124","","","DQ502555","DQ502340","","","","","DQ503340","DQ503230","DQ503091","","DQ503160"
"1375","EU342622","AY364573","HQ290635","","DQ523151","DQ502400","HQ290755","HQ290998","HQ290998","HQ290875","","DQ503183","DQ503044","","DQ503174"
"1376","FJ752371","FJ752295","","","FJ752336","","","","","","","","","",""
"1377","","","","","","","","","","","","","","",""
"1378","","","","","","","","","","","","","","",""
"1379","DQ502155","DQ502155","","","EU525853","DQ502358","","","","","","","DQ503108","","DQ503167"
"1380","","","","","","","","","","","","","","",""
"1381","AY364574","AY364574","HQ290636","","HQ290576","","HQ290756","HQ290999","HQ290999","HQ290876","","","","","HQ290936"
"1382","FJ752364","FJ752288","","","FJ752332","","","","","","","","","",""
"1383","","","","","","","","","","","","","","",""
"1384","FJ752380","DQ502116","","","FJ752348","DQ502335","","","","","DQ503335","DQ503225","DQ503087","","DQ503159"
"1385","EU342617","EU342616","","","DQ502684","DQ502387","","","","","","","","",""
"1386","","","","","","","","","","","","","","",""
"1387","FJ752382","DQ523044","","","FJ752350","","","","","","","","","",""
"1388","DQ502033","DQ502033","","","DQ502464","DQ502303","","","","","DQ503309","DQ503194","DQ503057","","DQ503147"
"1389","EU342623","EU342623","","","EU517673","","","","","","","","","",""
"1390","DQ283073","DQ283073","","","DQ523154","DQ284116","","","","","","DQ283798","DQ282663","","DQ503165"
"1391","DQ523020","DQ523090","","","DQ523160","","","","","","","","","",""
"1392","DQ522971","DQ523042","","","DQ523112","","","","","","","","","",""
"1393","EU342634","EU342633","HQ290639","","DQ523147","DQ502397","HQ290759","HQ291002","HQ291002","HQ290879","DQ503324","DQ503273","DQ503053","","DQ503173"
"1394","FJ752355","FJ752279","","","FJ752323","","","","","","","","","",""
"1395","","","","","","","","","","","","","","",""
"1396","","","","","","","","","","","","","","",""
"1397","","","","","","","","","","","","","","",""
"1398","EU342669","EU342669","HQ290618","","JN635880","","","HQ290981","HQ290981","","","","","","HQ290918"
"1399","","JX879715","","","JX879725","","","","","","","","","",""
"1400","EU342671","DQ502024","HQ290620","","DQ502457","DQ284071","","HQ290983","HQ290983","","EU325921","DQ283772","DQ282654","","HQ290920"
"1401","","","","","","","","","","","","","","",""
"1402","","JN635863","","","JQ936630","","","","","","","","","",""
"1403","DQ502106","DQ502106","","","DQ502538","DQ502332","","","","","DQ503333","DQ503222","DQ503084","","DQ503158"
"1404","DQ502168","DQ502168","","","U70163","DQ502366","","","","","DQ503365","DQ503251","DQ503116","",""
"1405","","JX879708","","","JX879718","","","","","","","","","",""
"1406","","JN635859","","","JQ936632","","","","","","","","","",""
"1407","","","","","","","","","","","","","","",""
"1408","EU342667","EU342667","HQ290631","","JQ936628","","","HQ290994","HQ290994","","","","","","HQ290931"
"1409","","","","","","","","","","","","","","",""
"1410","","","","","","","","","","","","","","",""
"1411","","","","","","","","","","","","","","",""
"1412","DQ501983","DQ501983","","","DQ502408","DQ502276","","JQ742303","","","DQ503281","","DQ503037","","JN691713"
"1413","DQ502130","DQ502130","","","DQ502561","DQ502346","","JQ742287","","","DQ503342","DQ503233","DQ503094","","JN691804"
"1414","","","","","","","","","","","","","","",""
"1415","","","","","","","","","","","","","","",""
"1416","DQ502257","DQ502257","","","DQ502689","DQ502297","","","","","DQ503300","DQ503188","DQ503051","","JN691797"
"1417","","","","","","","","","","","","","","",""
"1418","","","","","","","","","","","","","","",""
"1419","JN690449","JN691121","","","","","","JQ742301","","","","","","","JN691807"
"1420","","","","","","","","","","","","","","",""
"1421","","","","","","","","","","","","","","",""
"1422","","","","","","","","","","","","","","",""
"1423","","","","","","","","","","","","","","",""
"1424","","","","","","","","","","","","","","",""
"1425","","","","","","","","","","","","","","",""
"1426","DQ502256","DQ502256","","","DQ502687","DQ502390","","JQ742286","","","DQ503392","","DQ503137","",""
"1427","DQ502260","DQ502260","","","DQ502692","DQ502393","","JQ742290","","","DQ503395","DQ503269","DQ503138","",""
"1428","","JQ742101","","","","","","","","","","","","",""
"1429","","","","","","","","","","","","","","",""
"1430","DQ502108","DQ502108","","","DQ502540","DQ502333","","","","","DQ503334","DQ503223","DQ503085","","JN691731"
"1431","","","","","","","","","","","","","","",""
"1432","","","","","","","","","","","","","","",""
"1433","DQ502128","DQ502128","","","DQ502559","DQ502344","","","","","DQ503343","DQ503234","DQ503095","","DQ503162"
"1434","","","","","","","","","","","","","","",""
"1435","HQ290952","HQ290952","HQ290592","","HQ290532","","","HQ290952","HQ290952","","","","","",""
"1436","","JQ742103","","","","","","JQ742284","","","","","","",""
"1437","","","","","","","","","","","","","","",""
"1438","JX035995","JX035995","","","","","JX036002","","","JX036008","","","","",""
"1439","","","","","","","","","","","","","","",""
"1440","","","","","","","","","","","","","","",""
"1441","JX035993","JX035994","","","","","JX036001","","","JX036007","","","","",""
"1442","","","","","","","","","","","","","","",""
"1443","","","","","","","","","","","","","","",""
"1444","","","","","","","","","","","","","","",""
"1445","","","","","","","","","","","","","","",""
"1446","JX035992","JX035992","","","","","JX036000","","","JX036006","","","","",""
"1447","AY263216","AJ430678","","","","","","","","","","","","",""
"1448","DQ502154","DQ502156","","","DQ502592","DQ502359","","","","","","DQ503243","DQ503107","",""
"1449","JN584174","JN584174","","","","","","","","","","","","",""
"1450","","","","","","","","","","","","","","",""
"1451","DQ502274","DQ502274","HQ290608","","DQ502705","DQ502404","HQ290728","HQ290970","HQ290970","HQ290848","DQ503406","DQ503280","","","HQ290908"
"1452","","","","","","","","","","","","","","",""
"1453","","","","","","","","","","","","","","",""
"1454","","","","","","","","","","","","","","",""
"1455","","","","","","","","","","","","","","",""
"1456","","","","","","","","","","","","","","",""
"1457","","","","","","","","","","","","","","",""
"1458","EU342606","EU342606","","","","","","","","","","","","",""
"1459","","","","","","","","","","","","","","",""
"1460","","","","","","","","","","","","","","",""
"1461","","","","","","","","","","","","","","",""
"1462","EU342604","EU342604","","","DQ502615","DQ502375","","","","","DQ503375","DQ503256","","",""
"1463","AY364547","AY364547","HQ290598","","HQ290538","","HQ290718","HQ290958","HQ290958","HQ290838","","","","","HQ290898"
"1464","","","","","","","","","","","","","","",""
"1465","DQ502178","DQ502178","","","DQ502614","","","","","","DQ503374","","DQ503122","",""
